series_id,contestant_name,total_points,prize_points,normal_points,team_points,live_points,tasks_attempted,episode_wins,tiebreak_wins,dq_count
1,Frank Skinner,93,21,52,5,15,33,2,0,0
1,Josh Widdicombe,94,18,58,2,16,33,2,0,1
1,Roisin Conaty,68,10,42,2,14,33,1,0,0
1,Romesh Ranganathan,93,16,57,2,18,33,0,0,0
1,Tim Key,88,25,41,5,17,33,1,0,1
2,Doc Brown,78,17,34,6,21,32,1,0,1
2,Joe Wilkinson,69,17,34,6,12,32,0,0,1
2,Jon Richardson,90,14,52,9,15,32,1,0,1
2,Katherine Ryan,94,17,46,6,25,32,1,0,0
2,Richard Osman,86,11,49,9,17,32,2,0,1
3,Al Murray,80,14,45,8,13,29,1,0,1
3,Dave Gorman,81,17,43,8,13,29,1,0,2
3,Paul Chowdhry,66,13,34,8,11,29,1,0,1
3,Rob Beckett,87,16,48,7,16,29,2,0,0
3,Sara Pascoe,72,14,40,7,11,29,0,0,0
4,Hugh Dennis,129,13,79,15,22,61,2,0,2
4,Joe Lycett,136,24,84,5,23,61,1,0,1
4,Lolly Adefope,125,34,68,5,18,61,1,0,3
4,Mel Giedroyc,134,18,74,15,27,61,3,0,0
4,Noel Fielding,144,30,93,5,16,61,1,0,2
5,Aisling Bea,126,26,61,12,27,47,1,0,3
5,Bob Mortimer,138,25,81,7,25,47,4,0,2
5,Mark Watson,130,23,67,11,29,47,1,0,1
5,Nish Kumar,107,17,56,12,22,47,0,0,1
5,Sally Phillips,130,30,71,7,22,47,2,0,4
6,Alice Levine,152,24,81,20,27,61,2,0,3
6,Asim Chaudhry,159,23,89,21,26,61,1,0,0
6,Liza Tarbuck,181,29,106,23,23,61,3,0,2
6,Russell Howard,170,30,96,17,27,61,2,0,2
6,Tim Vine,175,38,91,23,23,61,2,0,1
7,James Acaster,165,23,101,11,30,60,4,0,1
7,Jessica Knappett,175,26,101,15,33,60,2,0,3
7,Kerry Godliman,176,33,91,15,37,60,2,0,2
7,Phil Wang,133,30,69,10,24,60,0,0,2
7,Rhod Gilbert,167,28,94,10,35,60,2,0,4
8,Iain Stirling,156,31,89,16,20,60,3,0,4
8,Joe Thomas,150,28,81,18,23,60,2,0,3
8,Lou Sanders,164,30,84,16,34,60,3,0,3
8,Paul Sinha,136,33,65,16,22,60,1,0,4
8,Sian Gibson,143,32,77,18,16,60,1,0,2
9,David Baddiel,128,36,55,15,22,55,1,0,1
9,Ed Gamble,167,32,95,16,24,55,4,0,0
9,Jo Brand,154,32,71,15,36,55,1,0,3
9,Katy Wix,157,34,76,16,31,55,2,0,3
9,Rose Matafeo,160,24,87,16,33,55,2,0,2
10,Daisy May Cooper,158,25,83,14,36,53,2,0,2
10,Johnny Vegas,139,26,77,8,28,53,1,0,3
10,Katherine Parkinson,118,30,53,13,22,53,1,0,3
10,Mawaan Rizwan,151,39,69,13,30,53,2,0,3
10,Richard Herring,162,32,77,14,39,53,4,0,0
11,Charlotte Ritchie,125,29,60,12,24,51,2,0,3
11,Jamali Maddix,137,31,69,12,25,51,1,0,2
11,Lee Mack,151,31,59,23,38,51,3,0,3
11,Mike Wozniak,153,35,63,23,32,51,1,0,4
11,Sarah Kendall,159,30,79,12,38,51,3,0,1
12,Alan Davies,161,38,76,18,29,56,2,0,0
12,Desiree Burch,161,39,71,16,35,56,2,0,0
12,Guz Khan,167,32,78,12,45,56,4,0,0
12,Morgana Robinson,168,21,91,18,38,56,1,0,0
12,Victoria Coren Mitchell,121,21,58,18,24,56,1,0,0
13,Ardal O'Hanlon,153,38,70,13,32,54,2,0,0
13,Bridget Christie,157,36,67,12,42,54,2,0,3
13,Chris Ramsey,170,27,95,13,35,54,4,0,1
13,Judi Love,142,26,72,12,32,54,0,0,2
13,Sophie Duker,173,31,88,12,42,54,2,0,2
14,Dara Ó Briain,184,34,92,10,48,55,3,0,0
14,Fern Brady,144,29,70,10,35,55,1,0,1
14,John Kearns,144,26,72,15,31,55,2,0,0
14,Munya Chawawa,150,22,70,24,34,55,1,0,1
14,Sarah Millican,174,32,83,24,35,55,3,0,0
15,Frankie Boyle,150,37,71,21,21,51,0,0,4
15,Ivo Graham,131,29,60,21,21,51,2,0,6
15,Jenny Eclair,152,30,56,27,39,51,2,0,3
15,Kiell Smith-Bynoe,158,35,69,27,27,51,3,0,5
15,Mae Martin,174,30,82,27,35,51,3,0,6
16,Julian Clary,155,35,71,15,34,50,2,0,3
16,Lucy Beaumont,129,27,57,15,30,50,3,0,4
16,Sam Campbell,161,28,80,16,37,50,2,0,2
16,Sue Perkins,137,36,63,11,27,50,2,0,4
16,Susan Wokoma,139,28,72,12,27,50,1,0,2
17,Joanne McNally,171,30,79,23,39,55,2,0,1
17,John Robins,192,32,90,23,47,55,5,0,2
17,Nick Mohammed,131,26,57,20,28,55,1,0,6
17,Sophie Willan,144,27,57,25,35,55,1,0,3
17,Steve Pemberton,153,39,66,18,30,55,1,0,5
18,Andy Zaltzman,160,38,76,17,29,53,3,0,1
18,Babátúndé Aléshé,147,23,82,17,25,53,1,0,2
18,Emma Sidi,152,35,76,17,24,53,4,0,1
18,Jack Dee,157,30,90,6,31,53,1,0,1
18,Rosie Jones,137,36,73,6,22,53,1,0,0
19,Fatiha El-Ghorri,141,23,67,21,30,51,1,0,1
19,Jason Mantzoukas,150,37,61,18,34,51,2,0,1
19,Mathew Baynton,169,37,71,21,40,51,4,0,1
19,Rosie Ramsey,149,26,72,21,30,51,1,0,0
19,Stevie Martin,154,28,64,18,44,51,2,0,1
20,Ania Magliano,151,34,73,16,28,52,2,0,1
20,Maisie Adam,151,41,61,20,29,52,3,0,0
20,Phil Ellis,151,27,82,14,28,52,3,0,2
20,Reece Shearsmith,148,32,66,22,28,52,2,0,2
20,Sanjeev Bhaskar,143,29,75,14,25,52,0,0,2
21,Amy Gledhill,155,29,79,18,29,51,3,0,0
21,Armando Iannucci,161,38,70,21,32,51,3,0,3
21,Joanna Page,165,31,79,21,34,51,1,0,0
21,Joel Dommett,150,30,71,18,31,51,2,0,1
21,Kumail Nanjiani,160,28,75,18,39,51,1,0,0
