series_id,episode_num,task_num,task_description,task_type,contestant_name,points,is_dq,is_tiebreaker,is_ep_winner
1,1,1,Prize: Most unusual item.,Prize,Frank Skinner,4,0,0,1
1,1,1,Prize: Most unusual item.,Prize,Josh Widdicombe,1,0,0,0
1,1,1,Prize: Most unusual item.,Prize,Roisin Conaty,2,0,0,0
1,1,1,Prize: Most unusual item.,Prize,Romesh Ranganathan,3,0,0,0
1,1,1,Prize: Most unusual item.,Prize,Tim Key,5,0,0,0
1,1,2,"In the lab, there is a watermelon. Eat as much watermelon as possible.",Normal,Frank Skinner,2,0,0,1
1,1,2,"In the lab, there is a watermelon. Eat as much watermelon as possible.",Normal,Josh Widdicombe,3,0,0,0
1,1,2,"In the lab, there is a watermelon. Eat as much watermelon as possible.",Normal,Roisin Conaty,1,0,0,0
1,1,2,"In the lab, there is a watermelon. Eat as much watermelon as possible.",Normal,Romesh Ranganathan,5,0,0,0
1,1,2,"In the lab, there is a watermelon. Eat as much watermelon as possible.",Normal,Tim Key,4,0,0,0
1,1,3,Paint the best picture of a horse whilst riding a horse.,Normal,Frank Skinner,5,0,0,1
1,1,3,Paint the best picture of a horse whilst riding a horse.,Normal,Josh Widdicombe,3,0,0,0
1,1,3,Paint the best picture of a horse whilst riding a horse.,Normal,Roisin Conaty,1,0,0,0
1,1,3,Paint the best picture of a horse whilst riding a horse.,Normal,Romesh Ranganathan,4,0,0,0
1,1,3,Paint the best picture of a horse whilst riding a horse.,Normal,Tim Key,2,0,0,0
1,1,4,"Completely empty this bathtub. You must not remove the plug, tip or damage the bath.",Normal,Frank Skinner,4,0,0,1
1,1,4,"Completely empty this bathtub. You must not remove the plug, tip or damage the bath.",Normal,Josh Widdicombe,3,0,0,0
1,1,4,"Completely empty this bathtub. You must not remove the plug, tip or damage the bath.",Normal,Roisin Conaty,2,0,0,0
1,1,4,"Completely empty this bathtub. You must not remove the plug, tip or damage the bath.",Normal,Romesh Ranganathan,5,0,0,0
1,1,4,"Completely empty this bathtub. You must not remove the plug, tip or damage the bath.",Normal,Tim Key,1,0,0,0
1,1,5,Live: Pop up a tent. Get in the tent. Zip up the tent. Pop on a onesie in the tent. And emerge from the tent wearing the onesie. | Find Alex.,Live,Frank Skinner,4,0,0,1
1,1,5,Live: Pop up a tent. Get in the tent. Zip up the tent. Pop on a onesie in the tent. And emerge from the tent wearing the onesie. | Find Alex.,Live,Josh Widdicombe,3,0,0,0
1,1,5,Live: Pop up a tent. Get in the tent. Zip up the tent. Pop on a onesie in the tent. And emerge from the tent wearing the onesie. | Find Alex.,Live,Roisin Conaty,1,0,0,0
